标的状态.还清,性别.女,年龄,学历.高中及以下,学历.研究生及以上,婚姻.已婚,婚姻.未婚,公司性质.民企,公司性质.单位,公司性质.其他,公司性质.优企,公司性质.外企,公司规模.100.500人,公司规模.10人以下,公司规模.500人以上,工作时间.1.3年,工作时间.1年以内,工作时间.3.5年,工作时间.无,投资人次,标的类型.实地认证标,标的类型.信用认证标,借款性质.个人消费,借款性质.购车购房,借款性质.婚礼筹备,借款性质.教育培训,借款性质.其他借款,借款性质.投资创业,借款性质.医疗支出,借款性质.装修借款,标的总额,年利率,期限.12个月,期限.13个月,期限.14个月,期限.15个月,期限.16个月,期限.18个月,期限.20个月,期限.21个月,期限.23个月,期限.24个月,期限.30个月,期限.36个月,期限.3个月,期限.48个月,期限.6个月,期限.8个月,期限.9个月,收入.5000元以下,收入.5000.10000元,收入.20000.50000元,收入.50000元以上,房产.TRUE,房贷.TRUE,车产.TRUE,车贷.TRUE,借款总额,申请借款,成功借款,还清笔数,逾期次数
1,1,38,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,19,1,0,1,0,0,0,0,0,0,0,20700,9.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20700,1,1,0,0
1,0,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,160,1,0,1,0,0,0,0,0,0,0,44100,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,120300,2,2,1,0
1,0,26,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,51,1,0,0,0,0,0,0,0,0,0,45600,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,45600,1,1,1,0
1,0,31,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,32,1,0,1,0,0,0,0,0,0,0,47400,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,47400,1,1,1,0
1,0,40,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,209,1,0,0,0,0,0,0,0,0,0,51400,9.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104800,2,2,1,0
1,0,26,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,73,1,0,1,0,0,0,0,0,0,0,47400,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,107600,2,2,1,0
1,1,25,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,90,1,0,0,0,0,0,0,0,0,0,43100,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,43100,1,1,1,0
1,0,31,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,177,1,0,0,0,0,0,0,0,0,0,144000,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144000,1,1,1,0
1,0,25,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,182,1,0,0,0,0,0,0,0,0,0,81300,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,145100,2,2,0,0
1,0,23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,1,0,0,13000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,26000,2,2,2,1
1,1,29,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,314,1,0,0,0,0,0,0,0,0,0,110500,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,110500,1,1,1,0
1,1,30,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,23,1,0,1,0,0,0,0,0,0,0,47100,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,47100,1,1,1,0
1,0,30,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,29,0,1,0,0,0,0,0,1,0,0,27000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27000,1,1,1,1
1,0,33,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,0,0,0,30000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30000,3,1,1,0
1,1,30,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,39,1,0,1,0,0,0,0,0,0,0,47400,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,47400,1,1,1,0
1,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,21600,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,79200,7,4,4,2
